id,owner_id,name,type,status,features,created,last_updated,profile_id,limit_level,client_properties,deleted,_cdc_operation,_cdc_lsn,_cdc_loaded_at
6e595ed3-a8b3-17fa-18d0-752b1825bc54,8a0b3c33-36d8-393a-7c44-1fe7ab4220a7,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-02 00:26:18,2026-02-02 00:26:18,778eedb3-693d-ffbc-6c6f-a6115ab33edf,L3,{},,INSERT,1474,2026-09-07 11:37:00
8ce21ea3-db20-a56e-dc81-5fe7ceda8bbb,3fa7f104-1bf9-0e27-dc96-925eccf3a171,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-12 17:19:15,2026-02-12 17:19:15,ffd0f9d5-a6f2-f7b8-0cf3-5b5819108be5,L3,{},,INSERT,1475,2026-09-07 11:45:00
43e458fc-63f2-ae24-fc3d-3348008d4127,680ac07a-2a93-5d62-3c83-5dc0d9441fa5,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-10 17:16:19,2026-02-10 17:16:19,747b6dba-c8fe-3ccd-c8b8-d9c6ed3049cf,L2,{},,INSERT,1476,2026-09-07 11:38:00
eb5cf467-80ba-cd64-7a0e-cfea958ca9ba,37bb3eec-4bf5-0b52-309d-258c27a0c3d7,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-09 08:08:10,2026-08-09 08:08:10,0e8fa8e0-284d-82e5-87f7-e1fbda4bd9ca,L3,{},,INSERT,1477,2026-09-07 11:41:00
50fd9d3f-85d5-1695-90b2-b633956b8c0c,675dd5af-3c36-5296-dca0-2eecacdabacc,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-03-18 16:00:51,2026-03-18 16:00:51,ab73295b-344a-54b8-42c1-8a62ef48e8d5,L3,{},,INSERT,1478,2026-09-07 11:43:00
43e42caf-8181-a8cc-3691-47eb89a2688b,750cab75-4ccc-9bc2-a53f-8a28abf3e3fc,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-08 04:42:51,2026-04-08 04:42:51,e1805081-5958-a499-eeea-163e21e8ac68,L1,{},,INSERT,1479,2026-09-07 11:43:00
2260e70f-e0cc-edc5-f05d-b76e1a84a51a,4d71c366-b41b-3143-8b10-550cd5704f32,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-29 00:14:31,2026-05-29 00:14:31,1b66b5a9-e3c4-3657-1d8c-bbac43b409ef,L3,{},,INSERT,1480,2026-09-07 11:41:00
c56811cd-5563-f616-00e8-5ece0b49452d,afffcfd2-341e-f40b-57c7-00aab7b56ea7,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-03-06 20:52:46,2026-03-06 20:52:46,430f801d-fad4-09e2-a319-dcb4217d65a0,L1,{},,INSERT,1481,2026-09-07 11:31:00
5d59cd2a-4eea-04e7-0ab5-4bde20a04502,13432e61-1ca3-c448-0279-b6a68f9797b0,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-06-26 02:12:19,2026-06-26 02:12:19,f8e1daa7-cbce-abde-eede-db07e623a689,L1,{},,INSERT,1482,2026-09-07 11:51:00
ecab3301-bc8f-7d29-2dea-94930658663a,e256a6dc-8f54-86b7-c7b5-b2bc5a8aaeca,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-03-28 02:03:18,2026-03-28 02:03:18,696608aa-ee49-f329-c84a-7b28550a1b46,L3,{},,INSERT,1483,2026-09-07 11:35:00
6601ddd0-3170-f437-a8f7-ef5a060edf5b,dbccc477-09e9-db0a-df46-529061ee411a,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-11 21:05:10,2026-04-11 21:05:10,11c58ef0-dd46-3c09-4752-87aa5408f9ac,L2,{},,INSERT,1484,2026-09-07 11:31:00
587ef344-6f3f-920c-98b8-e4cc1bc044fc,1d870966-0710-d430-f071-d87954c63cd8,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-22 08:00:18,2026-07-22 08:00:18,6fb78271-504d-281f-c953-5b63ba81edd9,L3,{},,INSERT,1485,2026-09-07 11:55:00
505cc686-9f87-1ce7-5487-fd4febb7a385,6fa17735-b572-f3d0-0b5c-ea6a41357e8c,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-19 09:53:48,2026-02-19 09:53:48,b841d0a0-1fe7-71d6-d917-8793a9d3c2e6,L2,{},,INSERT,1486,2026-09-07 11:49:00
8c459ce2-67f4-8ad5-4d0b-0d1a91b0e1d9,8dedf9fb-4bb0-0f20-b27c-40266703b636,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-05 14:44:31,2026-05-05 14:44:31,49732d6c-4dca-bfb7-001a-9a8bd56f0350,L1,{},,INSERT,1487,2026-09-07 11:46:00
55cee5db-9e87-e04c-a208-6977a9f25336,acf5e81e-7131-6269-7118-e36477097749,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-18 17:50:59,2026-08-18 17:50:59,c04a96c4-f3b6-3fe1-d184-332417e8392a,L1,{},,INSERT,1488,2026-09-07 11:48:00
664fa663-7e8f-8095-624c-69b6b24445a7,3eae0032-0bd4-a990-0640-be0f25b8fd4b,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-06 01:19:08,2026-05-06 01:19:08,b00805cc-a7f3-6ae9-25c7-3c443e75c3b4,L1,{},,INSERT,1489,2026-09-07 11:38:00
e45b712e-b822-5688-d0a4-44329cd6c852,3fcb7546-8eb2-2579-0cdb-1ca476ecbdd6,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-06-19 14:38:59,2026-06-19 14:38:59,e827a1b9-d4a0-2e53-6d3e-e1dc81392443,L3,{},,INSERT,1490,2026-09-07 11:55:00
3c07c574-4925-7af1-b6aa-e05b13d5f2f7,3f4b1a70-c074-718e-425a-609f7337c599,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-03-08 07:27:33,2026-03-08 07:27:33,e49d681d-51d8-7c64-55fa-1ab8458f1f19,L3,{},,INSERT,1491,2026-09-07 11:41:00
63b4c08b-6b8e-869f-d538-5b0e34f3193c,36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-28 05:44:23,2026-02-28 05:44:23,f2311f17-9586-3a76-c511-55ffe7a37e81,L3,{},,INSERT,1492,2026-09-07 11:36:00
560c95ee-638c-254c-076e-2bba7c5308bf,c0e3befd-4c71-e0fe-5a0c-dd7cf1578470,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-17 01:49:22,2026-08-17 01:49:22,67814c1f-cc53-0e36-addc-3e13ab3b4d37,L3,{},,INSERT,1493,2026-09-07 11:30:00
610cf373-4299-9aa4-0cdf-742b2e85cb21,06e745f9-88bc-539c-9f4c-3b79fb10987f,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-06 00:23:30,2026-07-06 00:23:30,53ac2ab9-7467-2cd9-362f-5e5c53cd6268,L2,{},,INSERT,1494,2026-09-07 11:32:00
f510ab53-c7fe-e39f-1190-f938a66fd7f7,78660765-14f7-ce8d-d5bc-b8d04094dded,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-23 13:32:22,2026-04-23 13:32:22,07f194f9-c115-6d6d-0a4e-5b70a6d964a3,L1,{},,INSERT,1495,2026-09-07 11:58:00
bf780e3f-f6b7-51f7-9b74-92459b1bc895,1d48a071-ab61-a7b1-793b-4c3220500494,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-13 09:57:19,2026-01-13 09:57:19,d1bdb8c0-c71d-5e60-1d52-06abb7e6427c,L1,{},,INSERT,1496,2026-09-07 11:36:00
d9acd158-4d34-85c5-c5c1-4eb4b27b3d90,f54ad0a2-e874-66d7-ad66-a1bd93676a02,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-16 11:33:12,2026-02-16 11:33:12,1efd76e9-ce37-14af-99b4-9350af2b99b4,L3,{},,INSERT,1497,2026-09-07 11:31:00
bbda0242-2d17-4fc9-6f7c-15ea272a6d8e,575aed2c-a5c5-650c-8186-a57611a72609,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-20 08:10:25,2026-05-20 08:10:25,45241ea6-a684-6099-f729-4951859131d2,L3,{},,INSERT,1498,2026-09-07 11:34:00
533420e6-d9d8-0b8d-7e8a-dee70758e201,d4aac9a3-3ed8-c56c-da09-dfa052828d80,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-12 06:31:24,2026-07-12 06:31:24,5ad5cf06-364d-7c87-7cd0-129d2e8d0e87,L2,{},,INSERT,1499,2026-09-07 11:47:00
7da67785-b63b-4dc3-a559-e46379e13cea,f2b43abf-8441-aefd-0299-436a8e485223,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-24 02:36:21,2026-04-24 02:36:21,17d2582e-046a-0df5-cafd-a61372bb912d,L2,{},,INSERT,1500,2026-09-07 11:39:00
4e7ed827-455a-c762-7428-a656b3ee4d3b,79279973-5e78-1fd7-94e0-d3baa9f948b2,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-06-11 13:17:30,2026-06-11 13:17:30,b8a6171f-1ee3-4dc4-3b04-8a8b405bfdc9,L1,{},,INSERT,1501,2026-09-07 11:58:00
4d6168bd-2def-e193-5c62-b3a23a3c563e,7bf47042-bd15-31c8-3764-fbda3108d448,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-20 22:19:51,2026-02-20 22:19:51,2067bdac-88bd-13d1-b540-b30e039f3a25,L2,{},,INSERT,1502,2026-09-07 11:34:00
40a26c60-0d27-0659-f72a-da9b2f32751e,7daa39f0-c0b6-fce2-de53-790aa34b6cf6,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-26 16:13:09,2026-01-26 16:13:09,1d34d08e-7a4c-75d4-dc99-e04cf0e98b3b,L1,{},,INSERT,1503,2026-09-07 11:53:00
715629ee-e893-be3d-7354-ea6f61607459,90164161-cfa7-01cd-2631-d00b26d794d3,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-15 11:24:36,2026-07-15 11:24:36,fd72b050-96a9-954f-dc33-e1f94c1f55ab,L2,{},,INSERT,1504,2026-09-07 11:54:00
4a8ff810-784c-2f29-9804-02a2b07aa066,a021c0ca-3531-968d-c342-bd2bf295456e,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-14 08:00:38,2026-08-14 08:00:38,b4fb0eb9-49c1-3de7-3b42-06c5085b15fb,L2,{},,INSERT,1505,2026-09-07 11:59:00
cae9b4a7-2a79-ea68-0f44-704f1247ea4e,ca8f3653-c9af-18f8-43b9-da13ec856f37,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-06-30 19:52:43,2026-06-30 19:52:43,d3016989-bfbb-b17f-9854-ce4e4ebfa5c3,L3,{},,INSERT,1506,2026-09-07 11:55:00
3a9aca5e-1761-32ed-069f-14f140181c6e,45b1ed25-f153-3ae8-670a-cc5cb321bf21,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-06-25 01:12:24,2026-06-25 01:12:24,dc4ad56b-d601-6237-ac9e-d156f63fce41,L3,{},,INSERT,1507,2026-09-07 11:39:00
6f962882-95d8-2980-ff37-d19c2e76128b,9384ec2b-44fe-acae-d248-a9a7ac1aa554,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-13 13:21:41,2026-01-13 13:21:41,f8140102-7de1-bdfe-d072-5b5ca2814044,L1,{},,INSERT,1508,2026-09-07 11:58:00
50843242-168b-1625-746f-78910964fbbf,292bd156-db94-6570-1ac7-0ec0ab8ddeb4,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-20 15:13:55,2026-05-20 15:13:55,f85e06a1-1dad-09b2-52c2-1221409d3602,L2,{},,INSERT,1509,2026-09-07 11:33:00
49bc473f-ed7b-f656-218a-15368c99a894,300568d2-0de0-51a6-69ca-97d2764414fd,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-05 22:43:43,2026-01-05 22:43:43,7c16128d-b2c0-8394-e17f-29e170286046,L1,{},,INSERT,1510,2026-09-07 11:34:00
eec259dc-7f95-897c-276a-a6ced50755d9,8d605936-0380-2b70-8d03-c91e4f8d5238,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-29 23:05:42,2026-08-29 23:05:42,b495db4e-8245-6fb4-4ab7-706eb77350ca,L2,{},,INSERT,1511,2026-09-07 11:52:00
81fb18b3-c9a7-d91f-ef2a-e71357021049,25074181-8d1f-b540-74ef-f5453e652603,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-11 21:13:19,2026-07-11 21:13:19,486822b9-00a8-1de9-d20f-87d044656d6b,L3,{},,INSERT,1512,2026-09-07 11:54:00
9261549d-3d22-5c30-b28f-41defb140bc3,89e06ab3-7250-ee18-260a-5962dd81b7f5,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-08-21 10:39:21,2026-08-21 10:39:21,c68a152f-db23-aa8c-3bca-bf85620a60ac,L2,{},,INSERT,1513,2026-09-07 11:47:00
dea4ae17-54fd-9ad3-9716-108ef72169bb,cada4f80-a9e7-82d4-fd08-b32c62d60e93,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-09 01:37:05,2026-05-09 01:37:05,70b7e868-d854-80f0-dfca-f0b719b17e80,L1,{},,INSERT,1514,2026-09-07 11:49:00
da330aa1-541c-dfcd-da0d-4a5f148f8b74,f84f16b3-a79f-bfaf-def5-768968f45bce,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-01 22:52:42,2026-07-01 22:52:42,61484bb3-889b-78d5-dbfd-d97eaca2b148,L2,{},,INSERT,1515,2026-09-07 11:59:00
df615a5c-b432-3070-a23d-4c2fc2a79689,a193c4b2-3c19-e71d-1184-05ad9e11d2cd,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-07-14 00:00:00,2026-07-14 00:00:00,b1aa0f6a-2a96-e1e2-7194-eae219bad7ae,L2,{},,INSERT,1516,2026-09-07 11:41:00
deef580f-9c07-a751-1437-45092cd1586a,6e417d47-5ff5-95ea-5bc4-40f14b1a269b,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-23 08:40:00,2026-01-23 08:40:00,3da70577-aee1-e86b-9ea5-56aa61ee6c5b,L2,{},,INSERT,1517,2026-09-07 11:44:00
fcd6bdca-5876-fd09-f1fa-f665711533f3,0267deb3-aab6-12c9-415d-174a75a66981,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-03-02 01:57:13,2026-03-02 01:57:13,f6478986-a391-7c99-4c95-5f6a966b1964,L2,{},,INSERT,1518,2026-09-07 11:44:00
d47d577b-fa5a-91ca-059d-d55d4b943e30,da743152-627b-41a1-ffd6-f23232ffe294,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-04-12 15:05:03,2026-04-12 15:05:03,0212b554-4644-58b4-6553-867da881bfd3,L3,{},,INSERT,1519,2026-09-07 11:32:00
a5769411-a0a1-1839-e745-770418dfbc3c,e776b886-d534-ee1d-7f29-84f5bec39a37,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-01-24 13:07:31,2026-01-24 13:07:31,70d9c9f8-c9e2-6074-4f16-39a00a17991e,L1,{},,INSERT,1520,2026-09-07 11:48:00
d499da99-45c4-5a3e-e9da-484a80759f1f,bf5ae7e6-53a3-dd5a-4b8c-5bdce8dd5e5a,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-27 04:45:11,2026-05-27 04:45:11,d31edf1a-e9ff-1cae-41c8-ca8c2a1f955a,L2,{},,INSERT,1521,2026-09-07 11:53:00
ac1e86d8-bfbf-397b-ac3e-7b0d5e5ba13d,c1101266-2408-a6dc-1346-d1a9f6802cdb,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-05-17 01:03:17,2026-05-17 01:03:17,d289f0ab-618a-e305-95a5-bafa431d029f,L3,{},,INSERT,1522,2026-09-07 11:39:00
1dde7969-6886-13db-a634-8e784d5c55c7,f1738856-e25d-36eb-9e9a-9f83066803ee,Personal,PERSONAL,ACTIVE,"{""cards"": true}",2026-02-16 13:51:31,2026-02-16 13:51:31,0986bbeb-f23e-323d-0b9b-d93423c86d30,L2,{},,INSERT,1523,2026-09-07 11:32:00
